categ_name,ac_group,ccy,group,TOTAL_AMOUNT,BANK_DATE,INT_RATE
MBL Individual Call Deposit,99,NPR,CALL DEPOSIT,1323278.25,10/7/2018,0
Call Account-0 % TAX RATE,13,NPR,CALL DEPOSIT,2505815644,9/11/2018,0
MBL Individual Call Deposit,99,NPR,CALL DEPOSIT,185615.83,9/8/2018,0
Call Account-5 % TAX RATE,99,NPR,CALL DEPOSIT,17586757.98,10/20/2018,0
Call Account-0 % TAX RATE,13,NPR,CALL DEPOSIT,3832563933,10/19/2018,0
Call Account-5 % TAX RATE,99,NPR,CALL DEPOSIT,17586757.98,10/18/2018,0
MBL Individual Call Deposit,99,NPR,CALL DEPOSIT,613672.25,9/12/2018,0
Call Account-0 % TAX RATE,13,NPR,CALL DEPOSIT,2904420937,9/24/2018,0
CALL DEPOSIT Tax 15 %,99,NPR,CALL DEPOSIT,4597959794,9/21/2018,0
CALL DEPOSIT Tax 15 %,99,NPR,CALL DEPOSIT,4978102591,9/25/2018,0
CALL DEPOSIT Tax 15 %,99,NPR,CALL DEPOSIT,4964733738,10/1/2018,0
Call Account-5 % TAX RATE,99,NPR,CALL DEPOSIT,16143808.4,9/21/2018,0
CALL DEPOSIT Tax 15 %,99,NPR,CALL DEPOSIT,5177437532,10/21/2018,0
Call Account-5 % TAX RATE,99,NPR,CALL DEPOSIT,15804459.46,10/7/2018,0
Call Account-0 % TAX RATE,13,NPR,CALL DEPOSIT,3042593509,10/3/2018,0
MBL Individual Call Deposit,99,NPR,CALL DEPOSIT,45467.38,10/20/2018,0
CALL DEPOSIT Tax 15 %,99,NPR,CALL DEPOSIT,3732491931,8/27/2018,0
Call Account-0 % TAX RATE,13,NPR,CALL DEPOSIT,1670193648,8/29/2018,0
Call Account-5 % TAX RATE,99,NPR,CALL DEPOSIT,21358604.94,9/2/2018,0
MBL Individual Call Deposit,99,NPR,CALL DEPOSIT,694315.83,8/29/2018,0
Call Account-5 % TAX RATE,99,NPR,CALL DEPOSIT,15411584.31,10/1/2018,0
MBL Individual Call Deposit,99,NPR,CALL DEPOSIT,926196.25,9/18/2018,0
MBL Individual Call Deposit,99,NPR,CALL DEPOSIT,45467.38,10/17/2018,0
CALL DEPOSIT Tax 15 %,99,NPR,CALL DEPOSIT,5488214979,10/20/2018,0
MBL Individual Call Deposit,99,NPR,CALL DEPOSIT,24418.21,10/14/2018,0
Call Account-0 % TAX RATE,13,NPR,CALL DEPOSIT,3832563933,10/20/2018,0
Call Account-5 % TAX RATE,99,NPR,CALL DEPOSIT,20344475.44,9/3/2018,0
Call Account-5 % TAX RATE,99,NPR,CALL DEPOSIT,17482199.05,10/15/2018,0
Call Account-5 % TAX RATE,99,NPR,CALL DEPOSIT,16039558.26,9/19/2018,0
CALL DEPOSIT Tax 15 %,99,NPR,CALL DEPOSIT,4957957140,9/27/2018,0
Call Account-0 % TAX RATE,13,NPR,CALL DEPOSIT,1739056955,8/26/2018,0
MBL Individual Call Deposit,99,NPR,CALL DEPOSIT,891375.58,8/27/2018,0
CALL DEPOSIT Tax 15 %,99,NPR,CALL DEPOSIT,4605577064,9/8/2018,0
CALL DEPOSIT Tax 15 %,99,NPR,CALL DEPOSIT,4072790426,9/5/2018,0
MBL Individual Call Deposit,99,NPR,CALL DEPOSIT,384815.83,9/2/2018,0
Call Account-5 % TAX RATE,99,NPR,CALL DEPOSIT,15403275.46,10/2/2018,0
MBL Individual Call Deposit,99,NPR,CALL DEPOSIT,926196.25,9/25/2018,0
CALL DEPOSIT Tax 15 %,99,NPR,CALL DEPOSIT,4639516949,10/10/2018,0
Call Account-5 % TAX RATE,99,NPR,CALL DEPOSIT,15252369.46,10/4/2018,0
CALL DEPOSIT Tax 15 %,99,NPR,CALL DEPOSIT,4149820696,8/30/2018,0
CALL DEPOSIT Tax 15 %,99,NPR,CALL DEPOSIT,4608127495,9/22/2018,0
